Department,Population,Rates.Property.All,Rates.Property.Burglary,Rates.Property.Larceny,Rates.Property.Motor,Rates.Violent.All,Rates.Violent.Assault,Rates.Violent.Murder,Rates.Violent.Rape,Rates.Violent.Robbery,State,Totals.Property.All,Totals.Property.Burglary,Totals.Property.Larceny,Totals.Property.Motor,Totals.Violent.All,Totals.Violent.Assault,Totals.Violent.Murder,Totals.Violent.Rape,Totals.Violent.Robbery,Year
Tuscaloosa County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1983,594,1170,219,354,316,1,17,20,1997
Tuscaloosa County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1900,594,1090,216,332,271,3,31,27,1998
Tuscaloosa County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1698,490,993,215,364,305,8,26,25,1999
Tuscaloosa County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1820,530,1085,205,338,281,5,28,24,2000
Tuscaloosa County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1768,576,1016,176,323,264,4,20,35,2001
Tuscaloosa County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,2001,691,1043,267,299,236,2,25,36,2002
Tuscaloosa County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1898,591,1088,219,215,186,0,10,19,2003
Tuscaloosa County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1873,611,1044,218,260,216,6,20,18,2004
Tuscaloosa County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,2013,593,1191,229,255,198,5,31,21,2006
Tuscaloosa County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,2278,633,1388,257,280,193,4,25,58,2007
Tuscaloosa County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1807,570,1041,196,229,174,2,21,32,2008
Tuscaloosa County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1798,556,1049,193,230,175,4,23,28,2009
Tuscaloosa County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1753,611,1000,142,190,154,2,13,21,2010
Tuscaloosa County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1525,427,970,128,228,197,2,8,21,2011
Tuscaloosa County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1541,449,981,111,228,180,4,12,32,2012
Tuscaloosa Police Dept,74571,6090.8,1464.4,4308.6,317.8,666.5,465.3,10.7,57.7,132.8,Alabama,4542,1092,3213,237,497,347,8,43,99,1984
Tuscaloosa Police Dept,75147,5901.8,1479.8,4110.6,311.4,719.9,513.7,5.3,51.9,149,Alabama,4435,1112,3089,234,541,386,4,39,112,1985
Tuscaloosa Police Dept,74302,0,0,0,0,0,0,0,0,0,Alabama,4325,1087,2991,247,540,411,3,31,95,1986
Tuscaloosa Police Dept,74389,6802.1,1879.3,4471.1,451.7,1406.1,1162.8,12.1,59.1,172.1,Alabama,5060,1398,3326,336,1046,865,9,44,128,1987
Tuscaloosa Police Dept,76153,4833.7,1394.6,3230.3,208.8,577.8,408.4,5.3,36.8,127.4,Alabama,3681,1062,2460,159,440,311,4,28,97,1988
Tuscaloosa Police Dept,74344,7685.9,1789,5502.8,394.1,910.6,653.7,9.4,49.8,197.7,Alabama,5714,1330,4091,293,677,486,7,37,147,1989
Tuscaloosa Police Dept,77759,8768.1,1792.7,6462.3,513.1,1410.8,1064.8,14.1,75.9,255.9,Alabama,6818,1394,5025,399,1097,828,11,59,199,1990
Tuscaloosa Police Dept,78690,9231.2,2151.5,6439.2,640.5,1302.6,925.1,8.9,85.1,283.4,Alabama,7264,1693,5067,504,1025,728,7,67,223,1991
Tuscaloosa Police Dept,79594,9587.4,1991.4,7117.4,478.7,1508.9,1060.4,10.1,94.2,344.2,Alabama,7631,1585,5665,381,1201,844,8,75,274,1992
Tuscaloosa Police Dept,79664,9855.1,1372,8060.1,423,1161.1,726.8,10,70.3,354,Alabama,7851,1093,6421,337,925,579,8,56,282,1993
Tuscaloosa Police Dept,80272,11251.7,1370.3,9517.6,363.8,1154.8,741.2,8.7,81,323.9,Alabama,9032,1100,7640,292,927,595,7,65,260,1994
Tuscaloosa Police Dept,80440,12168.1,1639.7,10164.1,364.2,1005.7,564.4,12.4,75.8,353.1,Alabama,9788,1319,8176,293,809,454,10,61,284,1995
Tuscaloosa Police Dept,80818,13666.5,1665.5,11534.6,466.5,1118.6,629.8,6.2,61.9,420.7,Alabama,11045,1346,9322,377,904,509,5,50,340,1996
Tuscaloosa Police Dept,81688,13955.5,1890.1,11546.4,519,1169.1,658.6,6.1,67.3,437,Alabama,11400,1544,9432,424,955,538,5,55,357,1997
Tuscaloosa Police Dept,83995,12419.8,1757.2,10076.8,585.7,1004.8,622.7,9.5,61.9,310.7,Alabama,10432,1476,8464,492,844,523,8,52,261,1998
Tuscaloosa Police Dept,83718,12116.9,1858.6,9834.2,424,1007,673.7,15.5,59.7,258,Alabama,10144,1556,8233,355,843,564,13,50,216,1999
Tuscaloosa Police Dept,77906,13230,1686.6,11153.2,390.2,1159.1,775.3,11.6,87.3,285,Alabama,10307,1314,8689,304,903,604,9,68,222,2000
Tuscaloosa Police Dept,78208,7106.7,1723.6,5048.1,335,1112.4,757,7.7,63.9,283.9,Alabama,5558,1348,3948,262,870,592,6,50,222,2001
Tuscaloosa Police Dept,78596,6749.7,1287.6,5135.1,327,596.7,292.6,6.4,62.3,235.4,Alabama,5305,1012,4036,257,469,230,5,49,185,2002
Tuscaloosa Police Dept,79400,6376.6,1258.2,4797.2,321.2,699,347.6,8.8,63,279.6,Alabama,5063,999,3809,255,555,276,7,50,222,2003
Tuscaloosa Police Dept,79812,6271,1542.4,4430.4,298.2,590.1,289.4,12.5,57.6,230.5,Alabama,5005,1231,3536,238,471,231,10,46,184,2004
Tuscaloosa Police Dept,80670,6239,1476.4,4440.3,322.3,624.8,319.8,8.7,48.3,247.9,Alabama,5033,1191,3582,260,504,258,7,39,200,2005
Tuscaloosa Police Dept,82094,6375.6,1530,4518,327.7,735.7,391,18.3,57.3,269.2,Alabama,5234,1256,3709,269,604,321,15,47,221,2006
Tuscaloosa Police Dept,83811,6021.9,1430.6,4258.4,332.9,664.6,299.5,11.9,38.2,315,Alabama,5047,1199,3569,279,557,251,10,32,264,2007
Tuscaloosa Police Dept,90157,5985.1,1678.2,3940.9,366,521.3,257.3,12.2,31.1,220.7,Alabama,5396,1513,3553,330,470,232,11,28,199,2008
Tuscaloosa Police Dept,91688,5542.7,1643.6,3659.1,239.9,455.9,207.2,5.5,30.5,212.7,Alabama,5082,1507,3355,220,418,190,5,28,195,2009
